sequence,param,risk
"['initial', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0, 1, 1]",1.8411275077547211
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_reach_in_cover']","[-0.16245616529030604, 0.8113389906088025, 1.4178825519599347]",3.127607641549579
"['initial', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button']","[-0.1877640067865786, 0.8101783443973843, 1.2707062363967483]",0.9083735373806738
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'human_retract_hand', 'human_press_button']","[-0.061719834116499034, 1.0707394159399897, 1.3804738687709102]",0.9127679041045382
"['initial', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_transition']","[0.09725866416899909, 1.1582301578565968, 1.486626128521531]",0.7384150089223301
"['initial', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_transition', 'human_press_button']","[0.18938056195521058, 0.9997448231166524, 1.470456739907279]",0.8750342537304999
"['initial', 'human_press_button', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_mount_cover', 'human_retract_hand', 'human_press_button', 'human_retract_hand', 'human_transition']","[0.06589740864338695, 0.9468495325708353, 1.4413660120332268]",0.9222071651157568
"['initial', 'human_transition', 'human_reach_parts', 'human_retract_hand', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[-0.05179093334170132, 1.0931063235687464, 1.234660070551512]",0.7439755546761487
"['initial', 'human_press_button', 'human_retract_hand', 'human_mount_cover']","[0.10820925593232023, 1.0158469793799114, 1.4301448894602748]",1.897646745856569
"['initial', 'human_transition', 'human_transition', 'human_transition', 'human_transition', 'human_press_button', 'human_retract_hand', 'human_transition', 'human_reach_parts', 'human_retract_hand']","[-0.10712954877479418, 1.005508665275055, 1.4762336941341347]",0.7404398015285714
